MED_NAME,YearsPrescription,N,Y,N_out,Y_out,P,OR,CI1,CI2,MED_GROUP,freqY,freqN
lamotrigine,"(2,12]",373,740,181,711,3.957691228927485e-11,0.5052125840691903,0.4088164397436882,0.6229470639391214,Na,0.5099931082012406,0.6732851985559567
lamotrigine,"(12,18]",78,170,476,1281,0.15035138200893233,NA,0.6027312427001476,1.0954072635935017,Na,0.1171605789110958,0.1407942238267148
lamotrigine,"(18,Inf]",12,82,542,1369,5.60438037844348e-4,2.7043206212187787,1.452707824153245,5.491432643994384,Na,0.05651274982770503,0.021660649819494584
levetiracetam,"(0,2]",245,838,309,613,5.973570953731318e-8,1.7237168134459933,1.4083936152786516,2.111158839474304,SV2A,0.5775327360441075,0.44223826714801445
levetiracetam,"(2,12]",554,1044,0,407,6.177067096928529e-66,0,0,0.017268860741150464,SV2A,0.7195037904893177,1
levetiracetam,"(12,18]",34,35,520,1416,1.0053853838812456e-4,0.37824551911603604,0.22647626502979834,0.6323164728732811,SV2A,0.024121295658166782,0.061371841155234655
levetiracetam,"(18,Inf]",50,19,504,1432,3.972755141917366e-15,0.13387784725701055,0.07378467653505077,0.23378569629819418,SV2A,0.013094417643004824,0.09025270758122744
lorazepam,"(0,2]",148,545,406,906,4.705888933989168e-6,1.6497771456084975,1.3232791360470364,2.063481367511975,GABA,0.37560303239145415,0.26714801444043323
lorazepam,"(2,12]",347,1020,207,431,0.0010778069620763903,1.4115745364255554,1.1422838967660058,1.7424089751237288,GABA,0.7029634734665747,0.6263537906137184
lorazepam,"(12,18]",81,58,473,1393,5.530939027157939e-15,0.24336057458560917,0.16781946404656112,0.35105460936775645,GABA,0.03997243280496209,0.14620938628158844
lorazepam,"(18,Inf]",46,32,508,1419,3.340296296299037e-9,0.24925436987212665,0.1517701203848528,0.40493668202032107,GABA,0.022053756030323914,0.08303249097472924
midazolam,"(0,2]",0,0,554,1451,1,NA,0,Inf,GABA,0,0
midazolam,"(2,12]",4,9,550,1442,0.7616806029940698,NA,0.2383599002514871,3.8298012821109637,GABA,0.006202618883528601,0.007220216606498195
midazolam,"(12,18]",9,5,545,1446,0.004419044422253557,NA,0.054912345757822924,0.7000180763213419,GABA,0.0034458993797381117,0.016245487364620937
midazolam,"(18,Inf]",0,22,554,1429,0.0011975891184400215,NA,2.11369420498806,Inf,GABA,0.015161957270847692,0
oxcarbazepine,"(0,2]",28,153,526,1298,7.86998661572751e-5,2.2135955831487406,1.4509980082729528,3.485495000450204,Na,0.10544452101998622,0.05054151624548736
oxcarbazepine,"(2,12]",407,288,147,1163,1.473445760675045e-110,0.08958397857633811,0.07065666007675059,0.11311097906364374,Na,0.19848380427291523,0.7346570397111913
oxcarbazepine,"(12,18]",58,20,496,1431,2.51874854624787e-18,0.1196971137659628,0.0674429662206847,0.20435932215427194,Na,0.013783597518952447,0.10469314079422383
oxcarbazepine,"(18,Inf]",0,0,554,1451,1,NA,0,Inf,Na,0,0
perampanel,"(0,2]",0,5,554,1446,0.33103983563844863,NA,0.3499181841105229,Inf,AMPA,0.0034458993797381117,0
perampanel,"(2,12]",33,99,521,1352,0.5459995619241542,NA,0.761352005757431,1.7937950392880053,AMPA,0.06822880771881461,0.05956678700361011
perampanel,"(12,18]",1,0,553,1451,0.27630922693266824,NA,0,14.890448456554335,AMPA,0,0.0018050541516245488
perampanel,"(18,Inf]",1,0,553,1451,0.27630922693266824,NA,0,14.890448456554335,AMPA,0,0.0018050541516245488
phenytoin,"(0,2]",69,104,485,1347,2.530238168080898e-4,0.542852731949898,0.38927524229118543,0.760674014901869,Na,0.07167470709855273,0.12454873646209386
phenytoin,"(2,12]",90,178,464,1273,0.022752059003600434,0.7210079505469528,0.5437427969065413,0.9607724651772684,Na,0.12267401791867677,0.1624548736462094
phenytoin,"(12,18]",4,0,550,1451,0.005783203253001208,NA,0,0.5765538945446829,Na,0,0.007220216606498195
phenytoin,"(18,Inf]",0,0,554,1451,1,NA,0,Inf,Na,0,0
primidone,"(0,2]",0,0,554,1451,1,NA,0,Inf,GABA,0,0
primidone,"(2,12]",0,8,554,1443,0.11597140672300402,NA,0.6527792962577447,Inf,GABA,0.0055134390075809786,0
primidone,"(12,18]",0,0,554,1451,1,NA,0,Inf,GABA,0,0
primidone,"(18,Inf]",0,0,554,1451,1,NA,0,Inf,GABA,0,0
rufinamide,"(0,2]",0,15,554,1436,0.01604194249210748,NA,1.3775421473453506,Inf,Mixed/unknown,0.010337698139214336,0
rufinamide,"(2,12]",52,140,502,1311,0.9323946604854931,NA,0.7315197389066249,1.470500740419747,Mixed/unknown,0.09648518263266713,0.09386281588447654
rufinamide,"(12,18]",8,38,546,1413,0.13416465621732077,NA,0.8363209323260516,4.583745520201567,Mixed/unknown,0.026188835286009647,0.01444043321299639
rufinamide,"(18,Inf]",0,0,554,1451,1,NA,0,Inf,Mixed/unknown,0,0
stiripentol,"(0,2]",0,0,554,1451,1,NA,0,Inf,GABA,0,0
stiripentol,"(2,12]",0,9,554,1442,0.07057750260955707,NA,0.7552543136911883,Inf,GABA,0.006202618883528601,0
stiripentol,"(12,18]",0,0,554,1451,1,NA,0,Inf,GABA,0,0
stiripentol,"(18,Inf]",0,0,554,1451,1,NA,0,Inf,GABA,0,0
topiramate,"(0,2]",254,579,300,872,0.017214499993194625,0.7843473873496416,0.6407127729238791,0.9604105544655962,Mixed/unknown,0.3990351481736733,0.4584837545126354
topiramate,"(2,12]",374,1096,180,355,3.6789380232540695e-4,1.4855992453499745,1.1910767409134755,1.8501963068175873,Mixed/unknown,0.7553411440385941,0.6750902527075813
topiramate,"(12,18]",47,78,507,1373,0.012903038345229722,0.6129849775614509,0.41499672045958785,0.9134506716964713,Mixed/unknown,0.053756030323914544,0.08483754512635379
topiramate,"(18,Inf]",31,58,523,1393,0.1448478287252478,NA,0.44104214627017824,1.1380232548173719,Mixed/unknown,0.03997243280496209,0.05595667870036101
valproic acid,"(0,2]",18,271,536,1180,1.105176847565417e-22,6.832995858370606,4.186586636809672,11.834987001821759,Mixed/unknown,0.18676774638180565,0.032490974729241874
valproic acid,"(2,12]",346,1451,208,0,1.3997315299258752e-131,Inf,233.35873596648298,Inf,Mixed/unknown,1,0.6245487364620939
valproic acid,"(12,18]",15,181,539,1270,4.7105683421952e-13,5.117567030640905,2.985834160367165,9.423462242376557,Mixed/unknown,0.12474155754651964,0.02707581227436823
valproic acid,"(18,Inf]",38,115,516,1336,0.4528224405013844,NA,0.7910988997180372,1.7590479775163395,Mixed/unknown,0.07925568573397657,0.06859205776173286
vigabatrin,"(0,2]",119,496,435,955,2.19450728476829e-8,1.8979615402189882,1.5014731767244551,2.4108784591687713,GABA,0.3418332184700207,0.2148014440433213
vigabatrin,"(2,12]",165,337,389,1114,0.00272382021181367,0.7133073525962758,0.5699756417356158,0.8943766007070809,GABA,0.23225361819434873,0.29783393501805056
vigabatrin,"(12,18]",0,1,554,1450,0.9999999999999999,NA,0.009805360527222612,Inf,GABA,6.891798759476223e-4,0
vigabatrin,"(18,Inf]",0,0,554,1451,1,NA,0,Inf,GABA,0,0
zonisamide,"(0,2]",7,66,547,1385,0.00024857572762962247,3.7223914653407983,1.6945589210252205,9.68071865755086,Mixed/unknown,0.04548587181254307,0.01263537906137184
zonisamide,"(2,12]",148,396,406,1055,0.8223638937637654,NA,0.8216787825614164,1.2940136589225724,Mixed/unknown,0.27291523087525843,0.26714801444043323
zonisamide,"(12,18]",55,95,499,1356,0.013298300885650673,0.6357816956024485,0.44380307431914834,0.9178719017190857,Mixed/unknown,0.06547208821502412,0.09927797833935018
zonisamide,"(18,Inf]",61,16,493,1435,9.328913441636e-22,0.09024599973865842,0.04809453330729373,0.16028441366278418,Mixed/unknown,0.011026878015161957,0.11010830324909747
