bin,term,N,Y,description,Y_out,N_out,pvalue,odds,freq1,freq2,color_sig,size_sel
1,HP:0000193,1,1,Bifid uvula,12032,7706,1,0.6404943061771856,8.310479514667997e-5,1.297521733489036e-4,>,-0
1,HP:0000202,237,82,Oral cleft,11951,7470,6.147042603725417e-35,0.2162804244774508,0.006814593202027757,0.030751265083690152,<,148.49422333362753
1,HP:0000204,12,0,Cleft upper lip,12033,7695,0.0101955796203581,0,0,0.001557026080186843,<,19.61524054401823
1,HP:0000234,573,483,Abnormality of the head,11550,7134,8.808787340252818e-22,0.5206529187066811,0.04013961605584642,0.07434799532892176,<,95.86922372423432
1,HP:0000235,86,164,Abnormality of the fontanelles or cranial sutures,11869,7621,1,1.22441923441194,0.013629186404055514,0.01115868690800571,>,3.4929035380372584
1,HP:0000238,221,422,Hydrocephalus,11611,7486,1,1.2310918037535812,0.03507022355189895,0.028675230310107696,<,7.4589273213749765
1,HP:0000245,6,8,Abnormal paranasal sinus morphology,12025,7701,1,0.8538991377033744,6.648383611734397e-4,7.785130400934215e-4,>,0.41196259179436656
1,HP:0000246,6,8,Sinusitis,12025,7701,1,0.8538991377033744,6.648383611734397e-4,7.785130400934215e-4,>,0.41196259179436656
1,HP:0000255,4,1,Acute sinusitis,12032,7703,1,0.16006463322930703,8.310479514667997e-5,5.190086933956144e-4,>,4.390589542435025
1,HP:0000268,1,0,Dolichocephaly,12033,7706,1,0,0,1.297521733489036e-4,>,1.6338471573904372
1,HP:0000271,429,239,Abnormality of the face,11794,7278,8.595334363310761e-38,0.34380741189737274,0.01986204604005651,0.055663682366679644,<,159.91183712353063
1,HP:0000282,7,0,Facial edema,12033,7700,1,0,0,9.082652134423251e-4,<,11.439816623347625
1,HP:0000301,2,0,Abnormality of facial musculature,12033,7705,1,0,0,2.595043466978072e-4,>,3.267831726853325
1,HP:0000315,25,22,Abnormality of the orbital region,12011,7682,1,0.5628673492991195,0.0018283054932269592,0.00324380433372259,>,5.139527654688532
1,HP:0000316,2,9,Hypertelorism,12024,7705,1,2.8834564694155813,7.479431563201197e-4,2.595043466978072e-4,>,2.6294011755428826
1,HP:0000317,2,0,Facial myokymia,12033,7705,1,0,0,2.595043466978072e-4,>,3.267831726853325
1,HP:0000356,12,5,Abnormality of the outer ear,12028,7695,1,0.266584976288472,4.1552397573339984e-4,0.001557026080186843,<,7.821921683679307
1,HP:0000364,378,71,Hearing abnormality,11962,7329,1.6152391382002811e-85,0.11512113871692624,0.005900440455414277,0.04904632152588556,<,350.81594090902803
1,HP:0000365,378,71,Hearing impairment,11962,7329,1.6152391382002811e-85,0.11512113871692624,0.005900440455414277,0.04904632152588556,<,350.81594090902803
1,HP:0000366,141,97,Abnormality of the nose,11936,7566,2.4147221967558274e-7,0.4360887944375483,0.008061165129227957,0.018295056442195406,<,38.11741952901891
1,HP:0000370,55,28,Abnormality of the middle ear,12005,7652,5.500906867363298e-4,0.32451366880528537,0.002326934264107039,0.007136369534189698,<,24.68715105722505
1,HP:0000372,12,5,Abnormality of the auditory canal,12028,7695,1,0.266584976288472,4.1552397573339984e-4,0.001557026080186843,<,7.821921683679307
1,HP:0000388,52,26,Otitis media,12007,7655,8.283683129977645e-4,0.31879094709526634,0.002160724673813679,0.006747113014142987,<,23.97599431504323
1,HP:0000405,3,2,Conductive hearing impairment,12031,7704,1,0.42691261153009813,1.6620959029335994e-4,3.8925652004671076e-4,>,1.657478444117644
1,HP:0000407,329,58,Sensorineural hearing impairment,11975,7378,2.5498757415734417e-76,0.1086473021224515,0.004820078118507438,0.04268846503178928,<,314.022812157043
1,HP:0000410,2,1,Mixed hearing impairment,12032,7705,1,0.32020636254222234,8.310479514667997e-5,2.595043466978072e-4,>,0.9925877854931155
1,HP:0000415,78,6,Abnormality of the choanae,12027,7629,1.991235683013581e-22,0.04879951351973957,4.986287708800798e-4,0.01012066952121448,<,98.45239756115893
1,HP:0000419,1,0,Abnormality of the nasal septum,12033,7706,1,0,0,1.297521733489036e-4,>,1.6338471573904372
1,HP:0000421,2,17,Epistaxis,12016,7705,1,5.449705265118996,0.0014127815174935594,2.595043466978072e-4,<,8.15036023598127
1,HP:0000453,78,6,Choanal atresia,12027,7629,1.991235683013581e-22,0.04879951351973957,4.986287708800798e-4,0.01012066952121448,<,98.45239756115893
1,HP:0000464,183,22,Abnormality of the neck,12011,7524,1.8868252211418654e-48,0.07531407250829639,0.0018283054932269592,0.023744647722849357,<,202.5459615348693
1,HP:0000473,183,22,Torticollis,12011,7524,1.8868252211418654e-48,0.07531407250829639,0.0018283054932269592,0.023744647722849357,<,202.5459615348693
1,HP:0000478,354,284,Abnormality of the eye,11749,7353,1.6452479509226098e-14,0.5020948680057016,0.02360176182165711,0.045932269365511876,<,66.78396279181194
1,HP:0000481,73,62,Abnormal cornea morphology,11971,7634,0.41415831182030377,0.541650933065903,0.005152497299094158,0.009471908654469962,<,13.180222699252628
1,HP:0000483,73,62,Astigmatism,11971,7634,0.41415831182030377,0.541650933065903,0.005152497299094158,0.009471908654469962,<,13.180222699252628
1,HP:0000486,26,45,Strabismus,11988,7681,1,1.1089600185880462,0.0037397157816005983,0.0033735565070714935,>,0.5801208049242601
1,HP:0000492,8,8,Abnormal eyelid morphology,12025,7699,1,0.6402850538038012,6.648383611734397e-4,0.0010380173867912288,>,1.410646220248931
1,HP:0000496,109,73,Abnormality of eye movement,11960,7598,1.2742360702288217e-5,0.42548118885275904,0.006066650045707637,0.014142986895030492,<,31.22788864756994
1,HP:0000498,0,3,Blepharitis,12030,7707,1,Inf,2.493143854400399e-4,0,>,2.174635963882064
1,HP:0000502,14,14,Abnormal conjunctiva morphology,12019,7693,1,0.6401055005530943,0.0011634671320535194,0.0018165304268846503,>,2.4160211786612305
1,HP:0000504,6,10,Abnormality of vision,12023,7701,1,1.0675423145218783,8.310479514667997e-4,7.785130400934215e-4,>,-0
1,HP:0000505,6,10,Visual impairment,12023,7701,1,1.0675423145218783,8.310479514667997e-4,7.785130400934215e-4,>,-0
1,HP:0000508,1,4,Ptosis,12029,7706,1,2.562357884248236,3.3241918058671987e-4,1.297521733489036e-4,>,0.7358634097359341
1,HP:0000509,14,14,Conjunctivitis,12019,7693,1,0.6401055005530943,0.0011634671320535194,0.0018165304268846503,>,2.4160211786612305
1,HP:0000517,15,0,Abnormality of the lens,12033,7692,6.049024262929023e-4,0,0,0.001946282600233554,<,24.52214692018156
1,HP:0000518,15,0,Cataract,12033,7692,6.049024262929023e-4,0,0,0.001946282600233554,<,24.52214692018156
1,HP:0000520,0,3,Proptosis,12030,7707,1,Inf,2.493143854400399e-4,0,>,2.174635963882064
1,HP:0000539,163,103,Abnormality of refraction,11930,7544,1.7906256085853557e-10,0.39960359233056814,0.008559793900108036,0.021149604255871285,<,50.6368690611197
1,HP:0000540,54,23,Hypermetropia,12010,7653,4.094404834945971e-5,0.27142794345281357,0.001911410288373639,0.0070066173608407945,<,29.200125100580593
1,HP:0000545,32,7,Myopia,12026,7675,4.0677386340104816e-5,0.13959421434887098,5.817335660267597e-4,0.004152069547164915,<,29.211476065108762
1,HP:0000549,26,45,Abnormal conjugate eye movement,11988,7681,1,1.1089600185880462,0.0037397157816005983,0.0033735565070714935,>,0.5801208049242601
1,HP:0000565,1,23,Esotropia,12010,7706,0.15135105817908762,14.756793670687777,0.001911410288373639,1.297521733489036e-4,<,14.928946379343646
1,HP:0000577,8,3,Exotropia,12030,7699,1,0.24001195769334688,2.493143854400399e-4,0.0010380173867912288,<,6.129720340470799
1,HP:0000587,21,58,Abnormality of the optic nerve,11975,7686,1,1.772642524655614,0.004820078118507438,0.0027247956403269754,<,6.244137321351517
1,HP:0000598,460,110,Abnormality of the ear,11923,7247,1.0579048042685256e-91,0.14536124890291435,0.009141527466134796,0.059685999740495654,<,375.5511018685313
1,HP:0000600,10,16,Abnormality of the pharynx,12017,7697,1,1.0248148857226849,0.0013296767223468795,0.001297521733489036,>,1.9286549331065744e-16
1,HP:0000606,7,0,Abnormality of the periorbital region,12033,7700,1,0,0,9.082652134423251e-4,<,11.439816623347625
1,HP:0000609,21,54,Optic nerve hypoplasia,11979,7686,1,1.6498462686297373,0.004487658937920718,0.0027247956403269754,>,4.968403835881409
1,HP:0000614,3,0,Abnormal nasolacrimal system morphology,12033,7704,1,0,0,3.8925652004671076e-4,>,4.901953733184179
1,HP:0000620,3,0,Dacryocystitis,12033,7704,1,0,0,3.8925652004671076e-4,>,4.901953733184179
1,HP:0000632,0,1,Lacrimation abnormality,12032,7707,1,Inf,8.310479514667997e-5,0,>,-0
1,HP:0000639,83,28,Nystagmus,12005,7624,1.701280818533849e-11,0.21425714676441449,0.002326934264107039,0.010769430387958998,<,54.725784204192635
1,HP:0000648,0,4,Optic atrophy,12029,7707,1,Inf,3.3241918058671987e-4,0,>,3.169784581609698
1,HP:0000707,1787,1889,Abnormality of the nervous system,10144,5920,4.542222456091845e-36,0.6169494922768661,0.15698495803207846,0.23186713377449072,<,153.01981462593665
1,HP:0000708,163,99,Behavioral abnormality,11934,7544,2.502992963360596e-11,0.383957569355189,0.008227374719521317,0.021149604255871285,<,54.05504971140106
1,HP:0000717,4,7,Autism,12026,7703,1,1.1209429625693168,5.817335660267597e-4,5.190086933956144e-4,>,1.9286549331065744e-16
1,HP:0000729,4,7,Autistic behavior,12026,7703,1,1.1209429625693168,5.817335660267597e-4,5.190086933956144e-4,>,1.9286549331065744e-16
1,HP:0000733,3,0,Stereotypy,12033,7704,1,0,0,3.8925652004671076e-4,>,4.901953733184179
1,HP:0000736,0,7,Short attention span,12026,7707,1,Inf,5.817335660267597e-4,0,<,5.28471460047727
1,HP:0000750,12,10,Delayed speech and language development,12023,7695,1,0.5333881535978344,8.310479514667997e-4,0.001557026080186843,>,2.9028111184843244
1,HP:0000752,0,7,Hyperactivity,12026,7707,1,Inf,5.817335660267597e-4,0,<,5.28471460047727
1,HP:0000769,1,0,Abnormality of the breast,12033,7706,1,0,0,1.297521733489036e-4,>,1.6338471573904372
1,HP:0000790,1,4,Hematuria,12029,7706,1,2.562357884248236,3.3241918058671987e-4,1.297521733489036e-4,>,0.7358634097359341
1,HP:0000795,0,259,Abnormality of the urethra,11774,7707,1.0076140602699565e-53,Inf,0.02152414194299011,0,<,223.63571135003517
1,HP:0000796,0,117,Urethral obstruction,11916,7707,7.284507399912164e-23,Inf,0.009723261032161555,0,<,100.19928747087964
1,HP:0000811,48,428,Abnormal external genitalia,11605,7659,1.1951437534110674e-43,5.884167159780773,0.035568852322779024,0.006228104320747372,<,183.33920764245454
1,HP:0000818,341,217,Abnormality of the endocrine system,11816,7366,1.3738449007206303e-23,0.396721314319536,0.018033740546829553,0.04424549111197613,<,103.09713740167875
1,HP:0000820,18,4,Abnormality of the thyroid gland,12029,7689,0.056856158783705896,0.1420354043328684,3.3241918058671987e-4,0.0023355391202802647,<,16.62977816492243
1,HP:0000821,18,3,Hypothyroidism,12030,7689,0.011997537417842258,0.10654701448062012,2.493143854400399e-4,0.0023355391202802647,<,19.33251977380407
1,HP:0000822,4,0,Hypertension,12033,7703,1,0,0,5.190086933956144e-4,<,6.536213201185656
1,HP:0000826,5,0,Precocious puberty,12033,7702,1,0,0,6.48760866744518e-4,<,8.170610155667566
1,HP:0000828,0,181,Abnormality of the parathyroid gland,11852,7707,6.947167556404924e-37,Inf,0.015041967921549073,0,<,156.281657131715
1,HP:0000829,0,180,Hypoparathyroidism,11853,7707,1.2092345371141131e-36,Inf,0.014958863126402393,0,<,155.31884605562
1,HP:0000830,31,0,Anterior hypopituitarism,12033,7676,1.7135805066448545e-10,0,0,0.004022317373816011,<,50.713270173860906
1,HP:0000834,4,14,Abnormality of the adrenal glands,12019,7703,1,2.243067388620899,0.0011634671320535194,5.190086933956144e-4,>,2.587208345540546
1,HP:0000839,27,0,Pituitary dwarfism,12033,7680,7.441794475383142e-9,0,0,0.0035033086804203972,<,44.1621775394368
1,HP:0000843,0,1,Hyperparathyroidism,12032,7707,1,Inf,8.310479514667997e-5,0,>,-0
1,HP:0000846,4,14,Adrenal insufficiency,12019,7703,1,2.243067388620899,0.0011634671320535194,5.190086933956144e-4,>,2.587208345540546
1,HP:0000864,74,18,Abnormality of the hypothalamus-pituitary axis,12015,7633,4.1080665898769856e-13,0.15453988520972337,0.0014958863126402393,0.009601660827818865,<,61.194338327342294
1,HP:0000871,31,0,Panhypopituitarism,12033,7676,1.7135805066448545e-10,0,0,0.004022317373816011,<,50.713270173860906
1,HP:0000873,235,0,Diabetes insipidus,12033,7472,9.24065150718077e-95,0,0,0.030491760736992345,<,387.78607785813284
1,HP:0000924,504,264,Abnormality of the skeletal system,11769,7203,5.160507062544659e-49,0.32060688740492294,0.02193966591872351,0.0653950953678474,<,204.79811871912017
1,HP:0000925,0,3,Abnormality of the vertebral column,12030,7707,1,Inf,2.493143854400399e-4,0,>,2.174635963882064
1,HP:0000929,144,244,Abnormal skull morphology,11789,7563,1,1.087047521635039,0.020277570015789913,0.018684312962242117,>,1.3416132354030965
1,HP:0000932,13,0,Abnormal posterior cranial fossa morphology,12033,7694,0.003976834204108673,0,0,0.0016867782535357468,<,21.25073828435486
1,HP:0000943,278,0,Dysostosis multiplex,12033,7429,1.0345405220588353e-112,0,0,0.0360711041909952,<,459.5898982010308
1,HP:0000951,78,127,Abnormality of the skin,11906,7629,1,1.0433056628646873,0.010554308983628356,0.01012066952121448,>,0.3254762467327592
1,HP:0000952,9,0,Jaundice,12033,7698,0.17172310115487746,0,0,0.0011677695601401323,<,14.70957333484579
1,HP:0000953,7,9,Hyperpigmentation of the skin,12024,7700,1,0.8233684779303022,7.479431563201197e-4,9.082652134423251e-4,>,0.3898085634170124
1,HP:0000957,7,9,Cafe-au-lait spot,12024,7700,1,0.8233684779303022,7.479431563201197e-4,9.082652134423251e-4,>,0.3898085634170124
1,HP:0000961,1,30,Cyanosis,12003,7706,0.005820739936380417,19.25894171873858,0.0024931438544003987,1.297521733489036e-4,<,20.588975442264832
1,HP:0000964,35,45,Eczema,11988,7672,1,0.8228381017043784,0.0037397157816005983,0.004541326067211626,>,1.4992517106233227
1,HP:0000969,40,42,Edema,11991,7667,1,0.671399665275006,0.0034904013961605585,0.005190086933956144,>,4.218491201526414
1,HP:0000988,15,16,Skin rash,12017,7692,1,0.6827986395069944,0.0013296767223468795,0.001946282600233554,>,1.7895310143260237
1,HP:0001000,7,9,Abnormality of skin pigmentation,12024,7700,1,0.8233684779303022,7.479431563201197e-4,9.082652134423251e-4,>,0.3898085634170124
1,HP:0001005,10,30,Dermatological manifestations of systemic disorders,12003,7697,1,1.923706388671883,0.0024931438544003987,0.001297521733489036,>,4.49874909147119
1,HP:0001025,2,7,Urticaria,12026,7705,1,2.242343924538206,5.817335660267597e-4,2.595043466978072e-4,>,1.2145428608163686
1,HP:0001028,31,0,Hemangioma,12033,7676,1.7135805066448545e-10,0,0,0.004022317373816011,<,50.713270173860906
1,HP:0001034,7,9,Hypermelanotic macule,12024,7700,1,0.8233684779303022,7.479431563201197e-4,9.082652134423251e-4,>,0.3898085634170124
1,HP:0001047,9,26,Atopic dermatitis,12007,7698,1,1.8520849968683974,0.002160724673813679,0.0011677695601401323,>,3.6835539985371186
1,HP:0001051,26,19,Seborrheic dermatitis,12014,7681,1,0.46722025760386077,0.0015789911077869192,0.0033735565070714935,<,7.472055305551435
1,HP:0001059,0,1,Pterygium,12032,7707,1,Inf,8.310479514667997e-5,0,>,-0
1,HP:0001098,21,58,Abnormal fundus morphology,11975,7686,1,1.772642524655614,0.004820078118507438,0.0027247956403269754,<,6.244137321351517
1,HP:0001123,1,0,Visual field defect,12033,7706,1,0,0,1.297521733489036e-4,>,1.6338471573904372
1,HP:0001155,44,1,Abnormality of the hand,12032,7663,2.2523423335419943e-14,0.014487524601197323,8.310479514667997e-5,0.005709095627351758,<,66.238350627648245
1,HP:0001159,24,1,Syndactyly,12032,7683,1.9683065354686497e-6,0.026609363050747032,8.310479514667997e-5,0.003114052160373686,<,34.4725172881717
1,HP:0001161,42,0,Hand polydactyly,12033,7665,5.3355303143032876e-15,0,0,0.005449591280653951,<,68.74017785920056
1,HP:0001167,42,1,Abnormality of finger,12032,7665,1.422277185275461e-13,0.015182427500215007,8.310479514667997e-5,0.005449591280653951,<,63.03695125179377
1,HP:0001197,35,0,Abnormality of prenatal development or birth,12033,7672,3.9407484934685606e-12,0,0,0.004541326067211626,<,57.26657335333486
1,HP:0001211,0,1,Abnormal fingertip morphology,12032,7707,1,Inf,8.310479514667997e-5,0,>,-0
1,HP:0001217,0,1,Clubbing,12032,7707,1,Inf,8.310479514667997e-5,0,>,-0
1,HP:0001250,114,316,Seizure,11717,7593,3.526501671679366e-5,1.7962476698352086,0.02626111526635087,0.01479174776177501,<,29.45951184992673
1,HP:0001257,0,9,Spasticity,12024,7707,1,Inf,7.479431563201197e-4,0,<,7.3219933795196575
1,HP:0001259,0,2,Coma,12031,7707,1,Inf,1.6620959029335994e-4,0,>,1.1227112732422444
1,HP:0001262,0,12,Excessive daytime somnolence,12021,7707,1,Inf,9.972575417601596e-4,0,<,9.244089187971845
1,HP:0001264,0,9,Spastic diplegia,12024,7707,1,Inf,7.479431563201197e-4,0,<,7.3219933795196575
1,HP:0001276,0,9,Hypertonia,12024,7707,1,Inf,7.479431563201197e-4,0,<,7.3219933795196575
1,HP:0001279,3,3,Syncope,12030,7704,1,0.640434544643221,2.493143854400399e-4,3.8925652004671076e-4,>,0.6591195662282895
1,HP:0001287,21,0,Meningitis,12033,7686,2.1247218849606768e-6,0,0,0.0027247956403269754,<,34.339679861255505
1,HP:0001288,6,8,Gait disturbance,12025,7701,1,0.8538991377033744,6.648383611734397e-4,7.785130400934215e-4,>,0.41196259179436656
1,HP:0001298,14,0,Encephalopathy,12033,7693,0.001551060088529019,0,0,0.0018165304268846503,<,22.886373734782175
1,HP:0001305,13,0,Dandy-Walker malformation,12033,7694,0.003976834204108673,0,0,0.0016867782535357468,<,21.25073828435486
1,HP:0001311,6,35,Abnormal nervous system electrophysiology,11998,7701,0.8861122278727106,3.7439538216298196,0.0029086678301337987,7.785130400934215e-4,<,11.858933307614425
1,HP:0001317,13,0,Abnormal cerebellum morphology,12033,7694,0.003976834204108673,0,0,0.0016867782535357468,<,21.25073828435486
1,HP:0001320,13,0,Cerebellar vermis hypoplasia,12033,7694,0.003976834204108673,0,0,0.0016867782535357468,<,21.25073828435486
1,HP:0001321,13,0,Cerebellar hypoplasia,12033,7694,0.003976834204108673,0,0,0.0016867782535357468,<,21.25073828435486
1,HP:0001324,13,79,Muscle weakness,11954,7694,2.0385235112393535e-4,3.9110886478523472,0.0065652788165877175,0.0016867782535357468,<,26.411625327180776
1,HP:0001332,183,22,Dystonia,12011,7524,1.8868252211418654e-48,0.07531407250829639,0.0018283054932269592,0.023744647722849357,<,202.5459615348693
1,HP:0001334,1,5,Communicating hydrocephalus,12028,7706,1,3.2031857274540094,4.1552397573339984e-4,1.297521733489036e-4,>,1.5293884839127783
1,HP:0001336,5,4,Myoclonus,12029,7702,1,0.5122357903637429,3.3241918058671987e-4,6.48760866744518e-4,>,1.9503379624287098
1,HP:0001337,7,12,Tremor,12021,7700,1,1.0980899295632753,9.972575417601596e-4,9.082652134423251e-4,>,-0
1,HP:0001342,46,0,Cerebral hemorrhage,12033,7661,1.2227283489596253e-16,0,0,0.005968599974049566,<,75.29956830036284
1,HP:0001355,0,24,Megalencephaly,12009,7707,0.006677178811155754,Inf,0.0019945150835203192,0,<,20.350516199908665
1,HP:0001357,38,72,Plagiocephaly,11961,7669,1,1.2148017688991557,0.005983545250560957,0.004930582587258337,>,1.6901802686808114
1,HP:0001360,73,30,Holoprosencephaly,12003,7634,6.172817490868517e-8,0.2613924613807875,0.0024931438544003987,0.009471908654469962,<,40.48695447992036
1,HP:0001363,43,82,Craniosynostosis,11951,7664,1,1.2228767555067581,0.006814593202027757,0.005579343454002855,>,2.0220174350232467
1,HP:0001367,3,6,Abnormal joint morphology,12027,7704,1,1.2810874389845717,4.986287708800798e-4,3.8925652004671076e-4,>,-3.857309866213148e-16
1,HP:0001371,3,1,Flexion contracture,12032,7704,1,0.21344773374064313,8.310479514667997e-5,3.8925652004671076e-4,>,2.0550203206867548
1,HP:0001373,0,5,Joint dislocation,12028,7707,1,Inf,4.1552397573339984e-4,0,>,3.1405989201429154
1,HP:0001374,0,5,Congenital hip dislocation,12028,7707,1,Inf,4.1552397573339984e-4,0,>,3.1405989201429154
1,HP:0001384,0,5,Abnormal hip joint morphology,12028,7707,1,Inf,4.1552397573339984e-4,0,>,3.1405989201429154
1,HP:0001385,0,5,Hip dysplasia,12028,7707,1,Inf,4.1552397573339984e-4,0,>,3.1405989201429154
1,HP:0001392,10,19,Abnormality of the liver,12014,7697,1,1.2172295568798268,0.0015789911077869192,0.001297521733489036,>,0.6061546341268543
1,HP:0001396,9,0,Cholestasis,12033,7698,0.17172310115487746,0,0,0.0011677695601401323,<,14.70957333484579
1,HP:0001409,0,15,Portal hypertension,12018,7707,0.6556053643321502,Inf,0.0012465719272001994,0,<,12.3823182324399
1,HP:0001438,0,3,Abnormal abdomen morphology,12030,7707,1,Inf,2.493143854400399e-4,0,>,2.174635963882064
1,HP:0001507,67,63,Growth abnormality,11970,7640,1,0.6001942295709037,0.005235602094240838,0.00869339561437654,<,9.66211569212107
1,HP:0001510,46,34,Growth delay,11999,7661,0.9440163248682214,0.47192417163717,0.002825563034987119,0.005968599974049566,<,11.748970207670927
1,HP:0001511,0,27,Intrauterine growth retardation,12006,7707,0.0021436389008490176,Inf,0.002243829468960359,0,<,22.32428170759993
1,HP:0001513,5,17,Obesity,12016,7702,1,2.179243647727824,0.0014127815174935594,6.48760866744518e-4,>,3.535810468237027
